Total Game,Player Win,Dealer Win,Push,Player Winning Type,High Card,Dealer Bust,21,Dealer Winning Type,High Card,Player Bust,Money,Max Money
87,35,49,3,,8,7,20,,49,0,-50.00,1250.00
24,6,18,0,,0,3,3,,18,0,-50.00,1100.00
32,10,21,1,,4,1,5,,21,0,-50.00,1000.00
85,34,45,6,,9,2,23,,45,0,0.00,1000.00
90,37,51,2,,6,8,23,,51,0,0.00,1350.00
42,15,26,1,,3,1,11,,26,0,-50.00,1350.00
74,30,42,2,,5,3,22,,42,0,-50.00,2100.00
87,35,48,4,,6,6,23,,48,0,0.00,1500.00
31,9,20,2,,2,1,6,,20,0,-50.00,1050.00
114,49,60,5,,12,2,35,,60,0,0.00,1300.00
703,271,301,131,,104,40,127,,141,160,0.00,3000.00
5148,2096,2164,888,,860,261,975,,1058,1106,7250.00,10350.00
59,21,31,7,,8,0,13,,17,14,0.00,1100.00
84,28,40,16,,13,3,12,,14,26,-50.00,1400.00
61,19,30,12,,6,2,11,,15,15,0.00,1300.00
80,25,36,19,,8,2,15,,27,9,0.00,1300.00
34,9,19,6,,2,0,7,,5,14,0.00,1100.00
935,374,403,158,,158,38,178,,211,192,0.00,3200.00
68,22,33,13,,13,1,8,,11,22,-50.00,1600.00
5135,2123,2066,946,,911,239,973,,992,1074,18650.00,22550.00
153,57,71,25,,26,7,24,,33,38,-50.00,1600.00
5129,2111,2065,953,,871,257,983,,993,1072,18450.00,19500.00
1365,541,583,241,,212,64,265,,276,307,0.00,4100.00
5142,2167,2023,952,,899,251,1017,,960,1063,27950.00,28350.00
3539,1400,1490,649,,576,160,664,,751,739,0.00,5300.00
108,39,51,18,,17,3,19,,30,21,-50.00,1600.00
275,108,126,41,,49,15,44,,61,65,-50.00,2300.00
112,40,52,20,,16,4,20,,26,26,0.00,1350.00
123,43,55,25,,21,4,18,,22,33,0.00,1600.00
5142,2163,2034,945,,905,245,1013,,954,1080,26150.00,26250.00
5122,2133,2101,888,,909,242,982,,986,1115,16300.00,16700.00
5137,2107,2046,984,,902,255,950,,961,1085,19850.00,19900.00
60,18,30,12,,4,4,10,,12,18,0.00,1150.00
5130,2176,1974,980,,906,244,1026,,926,1048,33400.00,34450.00
103,35,47,21,,12,4,19,,24,23,0.00,1400.00
52,18,29,5,,8,2,8,,15,14,0.00,1550.00
5119,2163,2012,944,,903,231,1029,,1021,991,27650.00,28150.00
5126,2126,2027,973,,877,239,1010,,974,1053,22850.00,24650.00
5130,2126,2051,953,,834,237,1055,,1013,1038,20350.00,22750.00
5140,2161,2065,914,,903,253,1005,,991,1074,23250.00,25100.00
5131,2161,2006,964,,888,254,1019,,966,1040,29200.00,31000.00
2589,1006,1068,515,,413,103,490,,522,546,-50.00,5200.00
5141,2059,2144,938,,835,257,967,,1073,1071,5350.00,12700.00
176,67,82,27,,23,9,35,,46,36,-50.00,1300.00
154,59,74,21,,17,10,32,,39,35,0.00,1800.00
5124,2145,2016,963,,891,229,1025,,928,1088,25350.00,26250.00
68,21,32,15,,6,2,13,,17,15,0.00,1700.00
5136,2093,2135,908,,862,257,974,,1058,1077,9650.00,12550.00
5135,2097,2080,958,,887,212,998,,1015,1065,13300.00,18450.00
5128,2135,2065,928,,856,256,1023,,997,1068,20800.00,20800.00
5137,2116,2064,957,,875,265,976,,1010,1054,19450.00,21150.00
58,20,30,8,,8,0,12,,12,18,0.00,1200.00
63,21,32,10,,11,2,8,,15,17,0.00,1350.00
46,12,23,11,,8,1,3,,10,13,-50.00,1000.00
75,26,39,10,,9,5,12,,15,24,-50.00,1300.00
5135,2094,2103,938,,860,241,993,,1030,1073,12150.00,14600.00
72,27,38,7,,16,2,9,,12,26,0.00,1100.00
5132,2126,2074,932,,924,229,973,,989,1085,17650.00,18750.00
1637,647,694,296,,256,74,317,,336,358,0.00,8100.00
5133,2093,2103,937,,829,246,1018,,1002,1101,12300.00,13900.00
5124,2099,2045,980,,843,241,1015,,1002,1043,18450.00,22700.00
5119,2108,2076,935,,864,226,1018,,1025,1051,15500.00,16100.00
5147,2106,2071,970,,836,258,1012,,1014,1057,17400.00,17400.00
224,87,101,36,,37,7,43,,43,58,-50.00,1450.00
267,101,117,49,,41,12,48,,58,59,0.00,2450.00
5125,2148,2002,975,,892,258,998,,975,1027,28500.00,29250.00
49,14,25,10,,4,1,9,,9,16,-50.00,1000.00
478,178,194,106,,78,12,88,,93,101,0.00,1700.00
5133,2167,2032,934,,926,246,995,,989,1043,26800.00,27900.00
5125,2170,2011,944,,877,287,1006,,934,1077,31250.00,32500.00
5127,2129,2031,967,,837,257,1035,,972,1059,23650.00,24300.00
5124,2105,2075,944,,868,224,1013,,1014,1061,15200.00,17650.00
5127,2154,2034,939,,837,271,1046,,983,1051,26550.00,26550.00
2873,1129,1210,534,,442,141,546,,592,618,-50.00,5650.00
5114,2081,2111,922,,811,246,1024,,1038,1073,10300.00,11400.00
5133,2168,2054,911,,869,272,1027,,983,1071,26000.00,26400.00
5129,2135,2063,931,,829,257,1049,,1025,1038,21050.00,22050.00
2372,957,1016,399,,401,98,458,,515,501,0.00,3850.00
5135,2072,2122,941,,840,222,1010,,1000,1122,7100.00,14300.00
144,53,66,25,,24,5,24,,31,35,-50.00,2450.00
62,21,31,10,,13,0,8,,15,16,0.00,1400.00
5146,2128,2086,932,,889,227,1012,,1017,1069,16550.00,18050.00
5127,2086,2103,938,,858,236,992,,1038,1065,11100.00,13450.00
149,54,68,27,,26,7,21,,40,28,-50.00,1550.00
886,344,372,170,,145,36,163,,182,190,0.00,4500.00
109,41,52,16,,13,1,27,,29,23,-50.00,1650.00
33,7,18,8,,0,1,6,,9,9,-50.00,1350.00
963,389,424,150,,149,50,190,,235,189,0.00,4450.00
22,4,15,3,,1,1,2,,7,8,-50.00,1000.00
5142,2186,2049,907,,925,243,1018,,1017,1032,26850.00,27550.00
244,91,109,44,,31,16,44,,49,60,0.00,2550.00
258,100,117,41,,38,14,48,,56,61,0.00,1650.00
5132,2088,2091,953,,873,252,963,,1023,1068,13300.00,15000.00
5135,2157,2039,939,,860,273,1024,,1010,1029,26450.00,27900.00
62,18,29,15,,7,2,9,,13,16,0.00,1000.00
